Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
Deadpool,ShieldSupport_Heal,45,37256,7,10,8,5,4,,3,healer,,,,3,,,3,3,3,4,3
Deadpool,SpiderMan,80,166328,7,7,15,7,6,6,5,striker,blue,8,,,,,3,3,3,3,3
Deadpool,LukeCage,65,87846,7,7,12,6,6,6,5,fortifier,,,5,1,,,5,5,5,5,5
Deadpool,Hawkeye,61,71769,7,7,11,6,6,6,4,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Punisher,65,66363,6,6,12,6,6,6,4,raider,,,,,3,,3,3,3,3,3
Deadpool,Elektra,50,43221,7,7,9,5,5,5,3,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Crossbones,55,57510,7,8,10,6,5,5,4,raider,,,,,3,,3,3,3,3,3
Deadpool,ShieldDmg_Defense,45,27635,7,7,8,5,4,,3,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Deadpool,90,342316,7,9,17,7,7,7,5,raider,purple,1,,,10,,,,,,
Deadpool,Stryfe,75,167461,7,10,14,7,6,6,5,fortifier,blue,,8,,,,3,3,3,3,3
Deadpool,Thor,65,85692,7,7,12,6,6,6,4,striker,,4,,,,,5,4,4,4,4
Deadpool,SilverSamurai,75,157255,7,8,14,6,6,7,5,striker,blue,9,,,,,4,4,4,4,4
Deadpool,ShieldTank_Stun,45,28530,7,7,8,5,4,,3,fortifier,,,3,,,,3,3,3,3,3
Deadpool,JessicaJones,65,89757,7,7,12,6,6,6,4,skirmisher,,,5,,,5,5,5,5,5,5
Deadpool,Shocker,65,93514,7,7,12,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
Deadpool,Deathpool,95,469814,7,8,18,7,7,7,5,striker,purple,10,,,,1,,,,,
Deadpool,Rhino,65,90909,7,7,12,6,6,6,5,fortifier,,,5,,,,5,5,5,5,5
Deadpool,CaptainAmerica,95,369047,7,7,18,6,7,6,5,skirmisher,blue,,3,,,9,4,4,4,4,4
Deadpool,Wolverine,95,447262,7,8,18,6,6,7,5,raider,purple,,,,13,,3,3,3,3,3
Deadpool,HandDmg_Unbuff,20,3595,6,6,4,2,2,,1,,,,,,,,,1,1,1,1
Deadpool,Mantis,50,41331,7,7,9,5,5,5,3,healer,,,,3,,,3,3,3,3,3
Deadpool,Shatterstar,75,130862,7,7,14,6,6,6,4,striker,blue,8,,,1,,3,3,3,3,3
Deadpool,NightNurse,50,44297,7,7,9,5,5,5,3,healer,,,,4,,,4,4,4,4,4
Deadpool,Bullseye,50,35923,6,6,9,5,5,5,3,striker,,3,,,,,3,3,3,3,3
Deadpool,ShieldSupport_Stealth,25,8160,7,7,5,3,2,,1,healer,,,,5,3,,5,5,5,5,5
Deadpool,Yelena,65,79405,7,7,12,6,6,6,4,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Hulk,90,256732,7,7,17,6,6,6,5,striker,purple,10,1,9,,,,,,,
Deadpool,ScarletSpider,75,139347,7,7,14,7,6,6,4,raider,blue,,,,8,,3,3,3,3,3
Deadpool,Scream,65,83472,7,7,12,6,6,6,4,striker,,3,,,1,,3,4,4,3,4
Deadpool,MsMarvel,65,86384,7,7,12,6,6,6,4,skirmisher,,,,1,,5,5,5,5,5,5
Deadpool,CaptainMarvel,70,109784,7,7,13,6,6,6,4,striker,,5,,,1,,5,5,5,5,5
Deadpool,Domino,70,103376,7,7,13,7,6,6,5,raider,,,4,3,5,1,5,5,5,5,5
Deadpool,HydraDmg_AoE,20,4824,7,7,4,2,2,,1,striker,,2,,,,,2,3,2,3,3
Deadpool,RavagerDmg_AoE,46,30614,7,7,8,5,4,,3,skirmisher,,,,,,3,3,3,3,3,3
Deadpool,Quake,65,78099,7,7,12,6,6,6,4,skirmisher,,,,,,3,3,3,4,3,3
Deadpool,UltSpiderMan,75,131909,7,7,14,6,6,6,4,striker,blue,8,,,,,3,3,3,3,3
Deadpool,Nebula,75,149918,7,7,14,7,7,7,5,skirmisher,blue,,,,,9,4,4,4,4,4
Deadpool,IronMan,85,230908,7,7,16,7,6,6,5,raider,purple,,,,10,,,,,,
Deadpool,AmericaChavez,70,127931,7,10,13,6,6,6,4,striker,,5,,,,,5,5,5,5,5
Deadpool,Beast,100,940907,7,9,19,7,7,7,5,healer,purple,,,13,,,3,3,3,3,3
